Ensino Básico;Ensino Superior;Curso de Idiomas;Edução Profissional Técnico;Curso Preparatório;Curso Livre
"BUREAU JURÍDICO - ESBJ CNPJ:04.986.320/0001-13
Rua Guilherme Pinto, 146, Bairro das Graças, Recife-PE. CEP 52010-210 Tel:(81) 3413-4640
Desconto:10 a 20%";"INSTITUTO SUPERIOR DE EDUCAÇÃO LA SALLE
CNPJ:60.916.731/0026-61
Rua Gastão Gonçalves, 79, Santa Rosa, Niterói-RJ.
Tel:(21) 2199-6600
www.lasallerj.org valeria.santos@lasalle.org.br
Desconto: 20% e 15% DESC";"TODD A. MCKINNEY
CNPJ:09.962.640/0001-31
Rua Apodi, nº 698, Tirol, Natal-RN CEP 59020-130 Tel:(84) 3201-1898
www;escolamekinney.com   escolamekinney@hotmail.com Desconto:40%";;;
"COLÉGIO PINHEIRO GUIMARÃES LTDA CNPJ: 33.686.049/0001-07
Rua Silveira Martins, nºs 151, 153 – Catete – Rio de Janeiro CEP: 22221-000 Tel: (21) 2205-0797 www.pinheiroguimaraes.br
Desconto: 50% creche; pré-escolar, ens. fund., médio e EJA. 20% curso prévestibular e curso preparatório.";"INSTITUTO DE CIÊNCIA E TECNOLOGIA MARIA THEREZA
CNPJ:01.914.745/0001-29
Rua Visconde do Rio Branco, nº 869, São Domingos, Niterói-RJ.CEP 24240-006Tel:(21) 2707-3506 /2707- 3521
www.famath.com.br convenios@famath.com.br
Desconto:10 a 50% NA MENSALIDADE";"BRITISH EMPREENDIMENTOS EDUCACIONAIS
CNPJ:10.985.630/0001-16
Av. das Fronteiras, 253,  Nossa Senhora da Apresentação, Natal.Tel:(84)30846174 Desconto:30%";;;
"JARDIM ESCOLA SOL DA MANHÃ
CNPJ nº 01.378.360/0001-94 Rua Orestes Barbosa, 114 - Ilha do Governador - Cep: 21.940-375 - RJ Tel: (21) 3393-2543.
Desconto:10%";"INSTITUTO BRASILEIRO DE MEDICINA DE REABILITAÇÃO - IBMR
CNPJ:42.365.445/0001-15
Praia de Botafogo, 158, Botafogo-RJ. CEP 22250-040Tel:(21) 2559-8600 www.ibmr.br    ibmr@ibmr.br
Desconto: 20% EM TODOS OS CURSOS DE GRADUAÇÃO E PÓS-GRADUAÇÃO";"PROENGLISH ASSESSORAMENTO TÉCNICO LINGUÍSTICO EMPRESARIAL LTDA
CNPJ:24.211.641/0001-53
Rua Olinto Meira, 1145, Barro Vermelho – Natal - RN Tel:(84) 3211-4260
Desconto:25%";;;
"CECIG – CENTRO DE EDUCAÇÃO E CRIATIVIDADE ILHA DO GOVERNADOR - Bastos de Araújo
Empreendimento LTDA
CNPJ:73.385.189/0001-51 Rua Ten Cleto Campelo, 274, Cocotá - Ilha do Governador-RJ. CEP 21921-025 Tel:(21) 2467-1284/4766 www.ceci g.com.br cecig@cecig.com.br
Desconto:20% a 35%";"UNICARIOCA - ASSOCIAÇÃO CARIOCA DE ENSINO SUPERIOR
CNPJ:31.886.146/0001-00
Av. Paulo de Frontin, nº568, Rio Comprido - RJ. CEP 20261-243Tel:(21) 2563-1919
www.unicarioca.edu.brDesconto:10%";"BRASAS ENGLISH COURSE - BASSO E MENDONÇA ASSESSORIA LINGUÍSTICA CNPJ:10.541.414/0001-81
Rua Berlarmino de Mendonça, nº 775, Centro, Foz do Iguaçu-PR. CEP 85851-100 Tel:(41)3027-0002 fz@brasas.com
15% PAGAMENTO EFETUADO ATÉ 05 DE CADA MÊS";;;
"CENTRO DE EDUCAÇÃO E CULTURA ALPHA – CeEduca – CENTRO DO MENOR P/ASSISTÊNCIA E REINTEGRAÇÃO
CNPJ: 73.340.119/0002-68
Rua Pio Dutra, nº 549/573, Freguesia-Illha do Governador-RJ. CEP 21911-200 Tel:(21) 3396-0668/0706 www.ceeduca.com.br ceeduca@ceeduca.com.br Desconto: 20%";"INSTITUTO ISABEL
CNPJ:33.529.972/0001-32
Rua Mariz e Barros, 612 – Tijuca – RIO DE JANEIROTelefone:(21) 25671185 Desconto:10% MENS";"WIZARD CANOAS - HIMAGE MATERIAL DIDÁTICO E IDIOMAS LTDA
CNPJ:72.244.973/0001-87
Av. Guilherme Schell nº6250, Centro, Canoas-RS. CEP 92.310-000
Tel:(51) 3466-9660
www.wizardcanoas.com.br   canoas@wizard.com.br
Desconto:15 a 10%";;;
"ESCOLA BRETANHA E JARDIM TIO CARECA
CNPJ:34.156.620/0001-36 Rua Miritiba n 317, Ilha do Governador, RJ. CEP 21911-120 Tel:(21) 3396-1986 www.bretanha.com.br escola@bretanha.com.br
Desconto:20% Ed. Infantil e 10% Ens. médio";"UNICESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGÁ LTDA
CNPJ:79.265.617/0001-99
Rua Barão de Mesquita 159, Tijuca, RJ. CEP 20540-005Tel:(21) 31736353
www.cesumar.br ou www.ead.cesumar.br ou riodejaneiro@ead.cesumar.br Desconto:10% DESC+10% de pontualidade nos cursos de graduação e pós-gradução, todas as áreas de ensino superior a distância.";"UP IDIOMAS - SET UP EDUCAÇÃO LTDA
CNPJ:12.063/0001-74
Rua General Salustiano, 135, Marechal Rondon, Canoas - Rio Grande do Sul Tel:(51) 3031-8700
www.upidiomas.org.br comercial.canoas@upidiomas.com.br
Desconto:20%";;;
"CENTRO CULTURAL MANILHA
CNPJ: 28.189.140/0001-79
Rua Albertina Monteiro dos Santos, nº 04 Manilha - Itaboraí-RJ CEP 24800-000Tel:(21) 2635-9069 www.centroculturalmanilha.com.br
Desconto: 10%  mensal, 15% semestral, 20% anual";"SOCIEDADE EDUCACIONAL CARVALHO GOMES
CNPJ:06.083.327/0001-50
Av. Engenheiro Roberto Freire, nº 1514, Capim Macio, Natal-RN. CEP 59080-400 Desconto:20%";"WIZARD - ESCOLA DE IDIOMAS CENTRO GARBIANA LTDA-ME
CNPJ:13.404.956/0001-09
Rua dos Andradas, nº 495, Centro, Porto Alegre-RS. CEP 90020-001Tel:(51) 3224-2011 wizardpoacentro@hotmail.com
Desconto:21%";;;
"CENTRO EDUCACIONAL SÃO BENTO DA LAGOA
CNPJ: 07.998.714/0001-80
Rua 12, lote 10-Qd 47 -Itaipuaçu Maricá-RJ. CEP 24900-000
Tel: (21) 2638-7483
escolalagoinha.com.brDesconto: 15%";"UNIANDRADE - CENTRO UNIVERSITÁRIO CAMPOS ANDRADE CNPJ:79.732.194/0001-70
Rua Marumby, 283, Curitiba-PR.
Desconto:20% ANUIDADE ANT; 15% ANUIDADE E SEM.; 10% PARC.";"ALIANÇA FRANCESA DE PORTO ALEGRE - CENTRO FRANCO BRASILEIRO
CNPJ:92.989.359/0001-51
Rua Dr. Timóteo, nº 752, Bairro Moinhos de Vento, RS Tel:(51) 3222-6070
www.afpoa.com.br
Desconto:20% de bolsa parcial não cumulativo com outros descontos, a não ser em caso de parentes (pais, filhos e irmãos) que recebe mais 10% ou 10% para o segundocurso.";;;
"CENTRO EDUCACIONAL NAZARENO
CNPJ:39.478.342/0001-57
Rua Emílio Guadagny, 1733 - Centro de Mesquita,  RJ CEP 26240-160Tel: (21) 2796-7283 Desconto: 55%";"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ CNPJ:76.659.820/0001-13
Rua Imaculada Conceição, 1155, Prado Velho, Curitiba-PA. CEP 80215-901 Tel:(41) 3271-1875 diretoriaeducaçãocontinuada@puepr.br
Desconto: ATÉ 20 ALUNOS 10%; 21-30 15%; ACIMA DE 31 20%";"CENTRO CULTURAL E LINGUISTICO CHALLENGER BRASIL
CNPJ:04.129.799/0001-71
Rua dos Andrades 1799, Santa Maria-RS. CEP 97010-033 Tel:(55) 3222-2760
www.challengerbrasil.com.br        challenger@challengerbrasil.com.br
Desconto:10%";;;
"FILGUEIRAS CENTRO TÉCNICO EDUCACIONAL
Av. Getúlio de Moura, 1901 – Centro Nilópolis - RJTel; (21) 2691-0044 40% infantil, 30% FUND, 30% médio";"UNIAMÉRICA - ASSOCIAÇÃO INTERNACIONAL UNIÃO DAS AMÉRICAS CNPJ:18.715.633/0001-41
Av. Tarquíco Joslin dos Santos, nº1000, Bairro Jardim Universitário, Foz do Iguaçu, Paraná. CEP 85870-650 Tel:(45) 2105-9001 www.uniamerica.br
Desconto:20%";"SIM ESCOLAS DE IDIOMAS - CURSOYES
CNPJ:07.790.024/0001-30
Rua Serafim Valandro nº 610, Centro, Santa Maria, RS, CEP 97010-480 Tel:(55) 3027-1184
www.cursoyes
Desconto:10% NOS CURSOS DE LINGUA INGLESA E ESPANHOLA";;;
"CENTRO EDUCACIONAL                        ADVENTISTA  DE  NITERÓI    -        Instituição
Adventista de Edu e Assist. Soc Este Brasileira
CNPJ:73.686.370/0025-75
Rua Desembargador Lima Castro, 36, Fonseca - Niterói RJTel:(21) 2625-1707 colegioadventistaniteroi@hotmail.comDesconto: 20 a 26%";"CAEDRHS ASSOCIAÇÃO DE ENSINO CNPJ:03.642.383/0001-90
Av. Coronel José Lobo, 800, Paranaguá - PR. CEP 83203-340 Tel:(41) 3423-3415 direcaodegraduacao@isulpar.com.br
Desconto:5-10 ALUNOS 30%; 11-20 35%; A PARTIR DE 21 40%";"CENTER FOR LANGUAGE STUDIES
Rua Riachuelo, nº99, Centro, Santa Maria- RS Desconto: 20 A 35%";;;
"COLEGIO ITAPUCA EDUCADORES ASSOCIADOS LTDA
CNPJ:28.542.421/0001-63
Rua Noronha Torrezão 373 Santa Rosa – Niterói - RJTel:(21)26121490 (21)26121490 www.colegioitapuca.com.br  secretaria@colegioitapuca.com.brDesconto: 15%";"ULBRA - UNIVERSIDADE LUTERANA BRASILEIRA - / CELSP
CNPJ:88.332.580/0001-65
Av. Farropilha, 8001, São José, Canoas-RS. CEP 92425-900 Tel: (51)34779136
www.ulbra.br
Desconto:10%";"Centro de Cultura Inglesa de Rondônia –LTDA
Av. Rio Madeira, 4253. Bairro Embratel. Cep 76.821-300. Porto Velho –RO. (069) 322-2224
15% (quinze por cento) -sem desconto à vista.";;;
"CENTRO EDUCACIONAL LOGOS
CNPJ:32.003.618/0001-00
Rua Mirim 35, Centro, Nova Iguaçu-RJ  CEP 26215-560Tel:(21) 2667-2777 logostes@gmail.com
Desconto:10%  + 5%  irmão";"UNIVERSIDADE REGIONAL DO NOROESTE DO RIO GRANDE DO SUL – UNIJJUÍ
CNPJ:90.738.014/0002-80
Rua do Comércio, 3000, Universitário, Ijuí-RS. CEP 98700-000 Tel:(55) 3332-0200
www.unijui.edu.br        roger.roberto@unijui.edu.br
Desconto:20%";"Thiers Struthos Eireli –ME (FISK –INSTITUTO TARGET).
Rua Abunã, 1035. Bairro Olaria. Cep 76.801-293. Porto Velho –RO.
(069) 3224-1102
30% (trinta por cento) para pagamento semestral e progressivo";;;
"CRECHE PEIXINHO DOURADO (CENTRO EDUCACIONAL SÃO PATRÍCIO)
CNPJ: 68.754.563/000109
Rua Angélica Mota 355, Olaria - RJ. CEP 21021-490Tel:(21) 3976-2151 /  3976-2084
saopatricio@yahoo.com.brDesconto: 20%";"CENTRO DE EDUCAÇÃO E PESQUISA INTERCURSOS
CNPJ:13.034.976/0001-27
Rua Maron, 1311/103, Passo Fundo-RS. CEP 99010-031Tel:(54) 8401-3287
www.ctepi.com.br  elara.ester@etepi.com.br
Desconto:10%";"Wizard Escola de Idiomas.
Avenida Carlos Gomes, 420. Cep 76.801-166. Porto Velho –RO. (069) 3223-9843(069) 3229 -6444
20% (vinte por cento).";;;
"CECIG  –    CENTRO DE   EDUCAÇÃOE   CRIATIVIDADE  ILHA   DOGOVERNADOR – BASTOS DE ARAÚJO EMPREENDIMENTO LTDA CNPJ:73.385.189/0001-51
Rua Ten Cleto Campelo, nº 274-Cocotá Ilha do Governador RJ. CEP 21.921-025 Tel:(21) 2467-1284/4766
www.cecig.com.br cecig@cecig.com.brDesconto: 20% a 35%";"FACULDADE IBGEN - IBGEN EDUCACIONAL LTDA.
CNPJ:01.024.691/0001-26
Av. Protásio Alves, nº2493, Petrópolis, Porto Alegre- RS. CEP 90410-002Tel:(51) 3332-0202 www.ibgen.com.br       contato@ibgen.com.br
Desconto:10 a 25%";"Centro de Cultura Inglesa de Rondônia –LTDA.
Av. Rio Madeira, 4253. Bairro Embratel. Cep 76.821-300.Porto Velho–RO. (069) 322-2224 15% (quinze por cento) –sem desconto à vista.
Curso de Inglês";;;
"Centro de Educação e Cultura Alpha - CeEduca - Centro Educacional doMenor p/Assistência e Reintegração
CNPJ: 73.340.119/0002-68
Rua Pio Dutra, nº 549/573, Freguesia-Illha do Governador-RJ. CEP 21911-200Tel:(21) 3396-0668/0706 www.ceeduca.com.br ceeduca@ceeduca.com.brDesconto: 20%";"FACULDADE DE TECNOLOGIA PASTOR DOHMS(TECNODOHMS)
CNPJ:92.843.945/0024-80
Rua Américo Vespucio, 483,Higienópolis Tel:(51) 3366-8620
www.tecnodohms.org.br       tecnodohms@tecnodohms.org.br
Desconto:10%";"CENTRO CULTURAL CHANNEL DE RORAIMA - CULTURA INGLESA
CNPJ:12.741.417/0001-94
Av. Major Williams, 1687, Centro. CEP 69301-110 Tel:(95) 3224-3533
www.culturaingresaboavista.com.br gerente@culturaingresaboavista.com.br
Desconto:20%";;;
"CENTRO EDUCACIONAL CHAMBARELLI
CNPJ:68.722.222/0001-51
Rua Paiva n 233, Quintino Bocaiuva -  Rio de Janeiro CEP 21380-360Tel: (21)2592-1196 Desconto:10% a 15% MENS; 15% a 20% ANUAL/SEM.";"UNIVERSIDADE DE SANTA CRUZ DO SUL (UNISC) ASSOCIAÇÃO PRÓ-ENSINOEM SANTA MARIA (APESC)
CNPJ:95.438.412/0001-14
Av. Independência,. 2293, Universitário, Santa Maria-RS. CEP 96815-900
:(51) 3717-7300/7664
www.cad.unisc.br        cad@unisc.br       
Desconto:10% no valor bruto da mensalidade de cada aluno matriculado efrequentando cursos de extensão ou pós";"CURSO DE IDIOMAS INTEGRADOS LTDA
CNPJ:03.277.610/0001-25
Rua Governador Aquilino Mota Duarte, 1847, São Francisco, Boa Vista-RR. Tel:(95) 3224-1587
Desconto: 20% DESC PARA CURSOS DE INGLÊS E ESPANHOL";;;
"INSTITUTO ISABEL
CNPJ: 33.529.972/0001-32
Rua Mariz e Barros, 612 – Tijuca – RJ CEP: Tel:(21) 25671185
Desconto: 10%";"FAPAS - FACULDADE PALOTINA
CNPJ:95.602.942/0020-19
Av. Presidente Vargas, 115, Patronato, Santa Maria - RS Tel:(55) 3220-4575
www.fapas.edu.br       fapas@fapas.edu.br
Desconto:20%";"MEG IDIOMAS LTDA - WIZARD IDIOMAS
CNPJ:07.411.596/0001-61
Av. Nossa Senhora da Consolata, 9764, Centro. CEP 69301-011 Tel:(95) 3224-8008
megidiomas@gmail.com.br
Desconto:10% DESC NA PARCELA MENSAL";;;
"COLÉGIO PINHEIRO GUIMARÃES
CNPJ: 29.242.427/0001-88
Rua Silveira Martins, nº 151, 153 – Catete – RJ CEP:22.221-000Tel: (21) 2205-0797/1326 www.pinheiroguimares.br     cateteatendimento@pinheiroguimaraes.br Desconto:  50%  Educação  Básica,  20% cursos  pré-vestibular  e  preparatóriopara concurso público.";"FACULDADE ANTONIO MENEGHETTI(AMF)
CNPJ:04.899.334/0002-80
Rua Recanto Maestro, n 338, distrito Recanto Maestro - RS CEP 97230-000 Tel:(55) 3289-1141
www.faculdadeam.edu.br     adm@faculdadeam.edu.br
Desconto:10%";"FISK CENTRO DE ENSINO-UNIDADE BOA VISTA - J.M. HARDY & CIA LTDA
CNPJ:84.044.247/0001-08
Rua Homero Cruz, 173 - São Francisco cep 69.305-190 Tel:(95) 3224-9129
fiskbv@osite.com.br Desconto:20%";;;
"CENTRO  EDUCACIONAL  DE REALENGO  -  COLÉGIO  DE  APLICAÇÃOPAULO GISSONI E COLÉGIO CASTELO BRANCO
CNPJ: 42.265.413/0001-48
Av. Santa Cruz, 1631 – Realengo – RJ CEP: 21.710-255Tel: (21) 3216-7700
www.castelobranco.brDesconto: 15%";"UNILASALLE
Graduação:
10% (dez por cento) de desconto nas mensalidades, exceto matrícula, para alunos matriculados em no mínimo 20 (vinte) créditos;
5% (cinco por cento) sobre o valor das mensalidades, exceto matrículas, para os alunos matriculados entre 12 (doze) e 19 (dezenove) créditos;
10% (dez por cento) para os cursos de extensão e pós-graduação da UNILASALLE, no mínimo 20 (vinte) créditos; e
5% (cinco por cento) nos cursos de extensão e pós-graduação da UNILASALLE, para os alunos matriculados entre 12 (doze) e 19 (dezenove) créditos.";"SKILL IDIOMAS - FÊNIX FLORIANÓPOLIS ENSINO DE IDIOMAS EFUNDAMENTAL LTDA ME.
CNPJ:13.174.423/0001-70
Rua Lauro Linhares, nº1297, Trindade, Florianópolis - SC. CEP 88036-002 Tel:(48) 3333-8000
www.skillfloripa.com.br         comercial@skillfloripa.com.br
Desconto:20%";;;
"CEM – CENTRO EDUCACIONAL MODERNEL
CNPJ 08.947.614/0001 – 97
Estrada do galeão 717, cob. Ilha Governador RJ – CEP:21931 -243Tel: (021) 33634359 – 24672238
Desconto: 10% a 30%";"FACULDADES BORGES DE MENDONÇA - SISTEMA DE ENSINO BORGES DEMENDONÇA LTDA.
CNPJ:05.620.495/0001-75
Rua Santos Dumont, nº104, Centro, Florianópolis - SC. CEP 88015-020Tel:(48) 3229-2500 www.bm.edu.br comunicacao@bm.edu.br
Desconto:10 a 20%";"SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - CURSO ON LINE DEIDIOMAS
CNPJ:06.603.739/0001-86
Rua Felipe Schmidt, n 785, 6º e 7and, CentroDesconto:10 a 15%";;;
"CENTRO EDUCACIONAL FERNANDES VIEIRA
CNPJ: 02.500.728/0001-08
Rua Cisplatina, 147, Irajá-RJ. CEP 212350-070
Tel: (21) 2471-6268
cefv@bol.com.br
Desconto: 30% Ed. Infantil, 15% Ens. Fund";"ASSOCIAÇÃO DE ENSINO DE SANTA CATARINA - ASSESC
CNPJ:80.669.344/0001-27
Rodovia SC 401, KM 01, nº 407, Itacorubi
Desconto:25 a 44%";"BC IDIOMAS LTDA
CNPJ:06.305.802/0002-77
Rua XV de novembro , 373, Centro, Itajaí-SC. CEP 88301-420Tel:(47) 3045-7525
Desconto:21,15%";;;
"CENTRO EDUCACIONAL HALTEC
CNPJ:00.330.201/0001-57
Praça Panamericana nº 19, Penha -RJ. CEP 20020-070Tel:(21) 2560-8232 escolahaltec@ig.com.br
Desconto:15%  Anuidade; 10% Mensalidade";"FUNDAÇÃO UNIVERSIDADE DO SUL DE SANTA CATARINA UNISUL
CNPJ:86.445.293/0001-36
Av. José Acácio Moreira, nº 787Tel:(48) 3261-3000 www.unisul.br
Desconto:15% a 25%";"SKILL IDIOMAS - FENIX - SÃO JOSÉ ENSINO DE IDIOMAS E FUNDAMENTALLTDA ME
CNPJ:13.858.607/0001-59
Rua Koesa, nº 208, Bairro Kobrasol, São José, SC CEP 88.102-310Tel:(47)3257-2222 www.skillfloripa.com.br         lizy@skillkobrasol.com.br
Desconto:28%";;;
"CENTRO EDUCACIONAL LOURO SABIDO
CNPJ:05.651.787/0001-75
Rua Cristalina, nº Realengo-RJ CEP 21725-770Tel:(21) 3336-5372 cels@globo.com
Desconto:10% Ed. Infantil e Fundamental, 20%  anual e 15% semestral";"AERO TD ESCOLA DE AVIAÇÃO CIVIL LTDA - ME
CNPJ:72.443.914/0001-38
Rua Marechal Guilherme, nº127, Centro, Florianópolis - SC. CEP 88015-000Tel:(48) 3223-5191 www.aerotd.com.br     aerotd@aerotd.com.br
Desconto:14%";"WIZARD GUARATINGUETA- ELIEZER BATISTA DA SILVA
CNPJ:09.943.403/0001-49
Avenida Pedro Toledo, 360, Vila Paraíba, GuaratinguetáTel:(12) 3125-4582 guaratingueta@wizard.com.br
Desconto: 13 a 30%";;;
"CENTRO EDUCACIONAL MAPE -JARDIM ESCOLA ALEGRIA DE VIVER
CNPJ: 11.219.880/0001-08
Rua Almirante Batista das Neves, 56/lote 376, Chatuba, Mesquita-RJ.CEP 26585-040 Tel:(21) 3277-5626
cemape.mesquita@gmail.comDesconto: 10%";"AEROTD ESCOLA PROFISSIONALIZANTE E FACULDADE
CNPJ:72.443.914/0001-38
Rua Madalena Barbi, 46, CentroTel:(48) 3223-5191 www.aerotd.com.br     aerotd@aerotd.com.br Desconto:10%";"YAZIGI GUARATINGUETA- BRASIL IDIOMAS COMERCIO E SERVIÇOS LTDA
CNPJ:02.341.111/0001-97
A. Dr. Carlos Rebelo Junior, nº205, Vila Paraíba CEP 12.515-300Tel:(12) 3125-6654/3125- 6654
www.yazigi.com.br/guaratingueta cinthya@yazigi.com/janecrisne@yazigi.comDesconto:25%";;;
"CENTRO EDUCACIONAL NOVA LUZ
CNPJ:27.112.473/0001-37
Rua Engenheiro Oscar Weinschenk nº 191, Vila da Penha-RJ. CEP 21211-780Tel: (21) 3351-6328 secretaria@pequenotorcedor.com.brDesconto:10%";"UNIASSELVI SOCIEDADE DE PÓS-GRADUAÇÃO LTDA
Desconto:10%";"THE ONE IDIOMAS
CNPJ:08.069.144/0001-06
Rua Candido Dinamarco nº 100 - Vila Paraiba Cep 12515-310Tel:(12) 3125-6623 www.numberone.com.br      numberone.gta@hotmail.com
Desconto:20%";;;
"CENTRO EDUCACIONAL SANTA BÁRBARA
CNPJ:04.795.321/0001-90
Rua Francisco Enes 182, Penha-RJ. CEP 21011-420Tel:(21) 3882-0756 cesantabarbara@hotmail.com
Desconto:20%  DESC  MAT;  15%  DE  DESC  (ED.  INFANTIL)  E  12%  (ENSINOFUNDAMENTAL) E 20% PARA PAGAMENTO DA ANUIDADE";"UNIVERSIDADE DO VALE DO ITAJAÍ - UNIVALI
CNPJ:84.307.974/0001-02
Rua Uruguai, n 458, Centro Tel:(47) 3341-7575 / 3341-7577 reitoria.secretaria@univali.br
Desconto:20%";"A. Callan Method
Desconto:10%";;;
"CENTRO EDUCACIONAL SOUZA POLETTI LTDA.
CNPJ:04.050.749/0001-02
Av. Consellheiro Julius  Arp, nº 197-Bela Vista-RJ. CEP 28623-000Tel:(22) 2523-9068 www.escolasouzapoletti.com.br
Desconto:14% DESC PARCIAL e 12% DESC INTEGRAL";"ESC - ESCOLA SUPERIOR DE CRUZEIRO
Desconto:51,6% NO CURSOS DE FISIOTERAPIA, 24% PEDAGOGIA, 45% ED.FÍSICA,49% ENFERMAGEM, 20% PÓS-GRAD.";"ICL FORMAÇÃO E TREINAMENTO DE IDIOMAS -
Desconto:15%";;;
"CENTRO EDUCACIONAL PALMIERI
CNPJ:01.330.421/0001-43
Entrada dos Caboclos, nº 293, Campo Grande-RJ. CEP 23040-160Tel:(21) 2417-9305 cep@uol.com.br
Desconto: 25% Ed. Infantil e Ens. Fund.";"ORGANIZAÇÃO GUARÁ DE ENSINO
CNPJ:45.207.487/0001-16
Av. Pedro de Toledo, 195 - VI. Paraíba -  Guaratinguetá-SP. CEP 12515-690Tel:(12) 3123-3123 www.oge.edu.br
Desconto:30% GRADUAÇÃO E 10% PÓS-GRADUAÇÃO";"INTERLANDS ESCOLA DE IDIOMAS - INTERLANDS SERVIÇOS E COMÉRCIOLTDA.
CNPJ:05.159.196/0001-85
Av. Andrômeda, nº 2770  Bosques dos Eucaliptos, São José dos Campos -SP. CEP12233-001 Tel:(12) 3916-3665
administrativo@andromeda.ingles200h.com.br
Desconto:10 a 30%";;;
"CENTRO EDUCACIONAL VIDA E ARTE
CNPJ:31.410.079/0001-52
Av. Ministro Ary Franco nº 598 e 608, Bangu-RJ. CEP 21862-005Tel:(21) 2401-6627 www.ipi.com.br   ipi@ipi.com.br
Desconto: 15%";"INSTITUTO DE PESQUISA E EDUCAÇÃO EM SAÚDE DE SÃO PAULO
Desconto:10% NOS CURSOS DE PÓS-GRADUAÇÃO, ATUALIZAÇÃO, CAPACITAÇÃO ETREINAMENTO";"PERSONAL DO VALE IDIOMAS - PERSONALLANGUAGE
Desconto:15% - INGLÊS, 10% PARA ALEMÃO, ESPANHOL, CHINÊS, FRANCÊS,ITALIANO E PORTUGUÊS PARA ESTRANGEIROS";;;
"COLÉGIO MEIRA LIMA - União Comunitária de Educação e Cultura
CNPJ:30.285.928/0012-83
Rua Richard Strauss, 52 Jardim América-RJ. CEP 21240-110Tel:(21) 3346-5577 www.colegioateneu.com.br
Desconto: 20%";"UNISAL - CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO - U.E.LORENA.
CNPJ:60.462.072/0005-20
Largo Coração de Jesus nº 154 - São Paulo, SP CEP 01.215-020Tel:(12) 3159-2033 www.unisal.br     projetos@lo.unisal.br
Desconto:10% DESC  de 2 a 5 alunos e 15% DESC acima de 5 alunos";"UNITOWER LANGUAGE INSTITUTE - ESCOLA DE IDIOMAS
Desconto:15% DESC E 20% para segunda e 25% para terceira, até 50%sucessivamente";;;
"INSTITUTO SÃO JOÃO BAPTISTA
CNPJ:33.666.306/0001-30
R. Medina, 246 - Meier, Rio de Janeiro – RJ  CEP: 20735-130Tel: (21) 3899-1299 isjob@isjob.com.br
Desconto:30% ANUIDADE, 20% MENSALIDADE";"FUNDAÇÃO UNIVERSITÁRIA VIDA CRISTÃ - FUNVIC - FACULDADE DEPINDAMONHANGABA
– FAPI
Desconto:24% NOS CURSOS DE GRADUAÇÃO, 26,5% PAGAMENTO ANTECIPADO e10% PARA CURSOS PÓS GRADUAÇÃO.";"ESCOLA DE IDIOMAS LTDA.
CNPJ:11.162.608/0001-39
Av. Barão do Rio Branco, nº 1097, Jardim Esplanada II, São José dos Campos - SP.CEP 12242800 Tel:(12) 3924-1000
www.icbeusjc.com.br       marketing@icbeusjc.com.brDesconto:20%";;;
"JARDIM  DE   INFÂNCIA  TIA   MÔNICA  –   CENTRO EDUCACIONALVASCONCELOS DANTAS
CNPJ:01.616.075/0001-64
Rua Uarici 21, Irajá-RJ. CEP 21220-330
Tel:(21) 2482-1730
escola@evd.g12.br
Desconto: 30% MANHÃ e 40%";"FUNDAÇÃO VALEPARAIABANA DE ENSINO- SISTEMA FVE
CNPJ:61.191.244/0001-20
Pça Candido Dias Castejón, 116, São José dos CamposTel:(12) 3947-1091
www.univap.br prius@univap.br Desconto:15% NAS PARCELAS DE ANUIDADE";;;;
"COLÉGIO E CURSO PONTO DE ENSINO
CNPJ: 68.584.531-0001/02
Rua Barão de Mesquita, 86/88 - Tijuca- RJTel: (21) 2568-6834 www.pensi.com.br
Desconto: 30% mensalidades";"MÉTHODO GESTÃO EDUCACIONAL
CNPJ:05.189.152/0001-06
Rua Francisco Paes, nº 91, Centro, são José dos Campos-SP. CEP 12210-100Tel:(12) 3911-1729 www.escolamethodo.com.br
Desconto:50% MATRÍCULA 10% MENSAL, 20% ANUAL ou SEMESTRAL e 15% IRMÃOS";;;;
"JARDIM ESCOLA MENINO DE JESUS
CNPJ:42.445.940/0001-34
Rua Marina, 36 -  Bento Ribeiro RJTel: (21) 3359-2287 jarescmejesus@ig.com.brDesconto:10%";"INSTITUTO BARREIROS DE FISIOTERAPIA
Rua Pedroso de Moraes, 3256, São Paulo.Tel:(11) 3884-0539
Desconto:30% PARC; 2 BOLSAS DE 100%";;;;
"SISTEMA ELITE DE ENSINO
CNPJ:14.011.425/0001-00
Rua das Rosas, 95, Vila ValqueireTel: (21) 3174-2496 www.sistemaeliterio.com.br  convenios@sistemaeliterio.com.br Desconto: 40%";"FACULDADE MAURÍCIO DE NASSAU CNPJ:06.787.789/0001-59
Av. Delmiro Gouveia, nº 800, Bairro Coroa do Meio, Aracajú, Sergipe CEP 49035-810 Tel:(79) 3231-8520 fax 3217-3073
www.mauriciodenassau.edu.br
Desconto:20%";;;;
